track_name,artist_name,album,release_date,popularity,duration_ms
The Line (from the series Arcane League of Legends),Twenty One Pilots,The Line (from the series Arcane League of Legends),2024-11-22,73,192000
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,96,261466
Back To Black,Amy Winehouse,Back To Black (Deluxe Edition),2006,84,241293
To Ashes and Blood (from the series Arcane League of Legends),Woodkid,To Ashes and Blood (from the series Arcane League of Legends),2024-11-09,68,245626
Holy Spirit,Sunmisola Agbebi,Holy Spirit,2024-11-15,55,351666
DARE,Sayfalse,DARE,2024-09-27,69,117035
SLAVA FUNK!,MVSTERIOUS,EVOLUTION FUNK VOL. II,2024-11-11,74,113161
HONOR,CHASHKAKEFIRA,HONOR,2024-09-06,46,148800
THE GREATEST,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,86,293840
A Little Death,The Neighbourhood,"Thank You,",2012-12-18,73,209706
Like a Prayer - Choir Version From “Deadpool & Wolverine”,I'll Take You There Choir,"Deadpool & Wolverine: Madonna's ""Like a Prayer"" EP",2024-08-09,76,152893
X-PRIME,Dj Samir,X-PRIME,2024-08-22,60,92919
i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,85,291796
Bye Bye Bye,*NSYNC,No Strings Attached,2000-03-21,84,200400
Sailor Song,Gigi Perez,Sailor Song,2024-07-26,92,211978
Messages from the Stars,The Rah Band,Going Up,1983,71,254080
Lo Vas A Olvidar (with ROSALÍA),Billie Eilish,Lo Vas A Olvidar (with ROSALÍA),2021-01-21,65,203464
COLLAR!,CHASHKAKEFIRA,COLLAR!,2024-05-11,56,102209
TORE UP,Don Toliver,HARDSTONE PSYCHO,2024-06-14,82,126986
HONOR - Slowed + Reverb,CHASHKAKEFIRA,HONOR,2024-09-06,35,171915
